Player,Age,Team,Pos,G,MP,PER,WS,WS/48,BPM,VORP,Salary_2526,salary_pct_cap
Klay Thompson,35,DAL,SF,69,1497,11.4,0.5,0.018,-1.4,0.2,16666667,10.77723267
Ryan Kalkbrenner,24,CHO,C,69,1479,17.9,5.7,0.185,1.8,1.4,2296274,1.48484872
Keon Ellis,26,2TM,SG,72,1478,10.8,2.2,0.072,-0.5,0.6,2301587,1.488284286
Ja'Kobe Walter,21,TOR,SG,72,1474,11.8,3.7,0.121,-0.3,0.6,3638160,2.352557761
Patrick Williams,24,CHI,PF,72,1474,8.2,-0.1,-0.005,-4.5,-0.9,18000000,11.63941105
Ajay Mitchell,23,OKC,SG,57,1473,16.8,4.8,0.156,1.9,1.4,3000000,1.939901841
Shaedon Sharpe,22,POR,SG,50,1471,15.3,1.3,0.041,-1.4,0.2,8399983,5.431714162
Bilal Coulibaly,21,WAS,SG,56,1468,13.5,1,0.031,-2.1,-0.1,7275600,4.704649945
Grayson Allen,30,PHO,SG,51,1467,16.1,3.9,0.127,2.1,1.5,16875000,10.91194786
Brandon Williams,26,DAL,PG,66,1463,16.8,2.5,0.083,0.4,0.9,2270735,1.468334336
Daniss Jenkins,24,DET,PG,72,1455,13.4,2.9,0.095,-0.7,0.5,3809524,2.46336754
Jaren Jackson Jr.,26,MEM,C,48,1454,15.7,1.4,0.047,-0.6,0.5,35000000,22.63218814
Javonte Green,32,DET,SG,82,1446,14.1,4.7,0.156,2.1,1.5,2296274,1.48484872
Ivica Zubac,28,2TM,C,48,1446,18.6,4.2,0.139,-0.3,0.6,18893980,12.21748886
Tre Johnson,19,WAS,SG,60,1443,10.6,-0.7,-0.024,-5,-1.1,8237640,5.326737667
Lauri Markkanen,28,UTA,PF,42,1443,21.1,3.5,0.118,2.6,1.6,46394100,30
Khris Middleton,34,WAS,SF,63,1439,10.9,0.3,0.008,-4.4,-0.9,33296296,21.5305153
Sidy Cissoko,21,POR,SF,75,1435,7.1,1.3,0.045,-4,-0.7,686243,0.44374802
Luke Kornet,30,SAS,C,68,1430,17.9,6.9,0.231,3.6,2,11000000,7.112973417
Baylor Scheierman,25,BOS,SG,77,1429,11.6,3.8,0.129,0.6,0.9,2619000,1.693534307
Spencer Jones,24,DEN,SF,64,1417,9.3,2.6,0.089,-2.4,-0.1,623967,0.403478244
Mark Williams,24,PHO,C,60,1416,21.8,6.3,0.215,2,1.4,6276531,4.058618014
